operator_sex,climate_livelihood_shock_pct,drought_water_shortage_pct,crop_pest_disease_pct,livestock_died_shock_pct,food_price_shock_pct,any_food_insecurity_pct,moderate_severe_food_insecurity_proxy_pct,food_insecurity_count_mean
Female,90.31,65.1,5.56,25.49,55.36,64.42,49.57,3.33
Male,89.31,70.0,15.5,19.77,48.82,65.25,51.4,3.31
