operator_sex,n_unweighted,weighted_households,operator_age_mean,hhsize_mean,female_head_pct,crop_producer_pct,livestock_ownership_pct,climate_livelihood_shock_pct,moderate_severe_food_insecurity_proxy_pct
Female,340,96027.4,38.72,6.51,69.02,54.32,64.87,90.31,49.57
Male,408,109425.38,41.44,6.57,30.51,58.61,60.18,89.31,51.4
